Model,Accuracy,Precision,Recall,F1 Score
RandomForest,0.7551714285714286,0.7589255059869572,0.7551714285714286,0.754267723404431
RandomForest,0.7566571428571428,0.7597192920067046,0.7566571428571428,0.7559260864658932
